Vehicle_ID,EV_Type,State,City,Registration_Date,Daily_KM_Travelled,Battery_Capacity_kWh,Charging_Frequency_Per_Week
VH-00711,3W-Electric,Tamil Nadu,Tiruchirappalli,2022-02-28,65.1,6.4,3.0
VH-00076,2W-Electric,Kerala,Kochi,2024-01-07,72.5,2.0,3.0
VH-00419,E-Bus,Telangana,Nizamabad,2023-03-03,21.2,199.7,4.0
VH-00420,E-Bus,Tamil Nadu,Salem,2023-01-23,74.7,221.7,6.0
VH-01026,3W-Electric,Punjab,Amritsar,2023-04-26,71.9,7.3,6.0
VH-00485,2W-Electric,Telangana,Khammam,2021-04-03,81.5,2.8,2.0
VH-00657,E-Bus,Haryana,Ambala,2021-10-13,42.9,217.3,7.0
VH-00242,E-Bus,Telangana,Karimnagar,2024-01-14,61.6,236.0,2.0
VH-00533,3W-Electric,Telangana,Hyderabad,2021-10-15,36.1,8.3,5.0
VH-00575,E-Bus,Maharashtra,Thane,2023-12-11,17.7,219.4,4.0
VH-00679,E-Bus,Uttar Pradesh,Kanpur,2024-07-13,79.5,161.9,3.0
VH-00547,3W-Electric,Kerala,Kollam,2021-12-03,54.5,8.3,4.0
VH-00331,E-Cargo,Karnataka,Hubli,2023-09-24,80.7,56.2,6.0
VH-00964,E-Bus,West Bengal,Durgapur,2024-12-08,49.1,207.9,3.0
VH-00322,E-Cargo,Tamil Nadu,Coimbatore,2024-09-08,56.9,63.0,5.0
VH-00684,3W-Electric,Punjab,Patiala,2023-01-20,39.6,7.2,4.0
VH-00568,E-Bus,Maharashtra,Solapur,2022-04-25,44.4,223.2,6.0
VH-00344,4W-Electric,Karnataka,Mangaluru,2022-11-27,32.2,41.7,3.0
VH-00749,3W-Electric,Haryana,Panipat,2023-11-27,44.9,7.3,6.0
VH-00591,E-Bus,West Bengal,Asansol,2021-07-21,71.1,237.6,7.0
VH-00398,E-Bus,Kerala,Kollam,2021-08-16,68.4,180.6,4.0
VH-00090,E-Cargo,Haryana,Panipat,2024-02-06,71.9,48.2,3.0
VH-00493,2W-Electric,Delhi,Faridabad,2024-05-07,47.6,2.2,5.0
VH-00499,3W-Electric,Tamil Nadu,Salem,2023-04-21,70.1,7.9,6.0
VH-00520,4W-Electric,Punjab,Chandigarh,2022-08-08,81.2,36.4,7.0
VH-00083,4W-Electric,Kerala,Thiruvananthapuram,2022-02-21,82.3,45.1,7.0
VH-01169,E-Cargo,Delhi,Faridabad,2021-04-28,53.5,60.7,3.0
VH-00601,2W-Electric,Maharashtra,Mumbai,2024-09-30,62.3,2.8,2.0
VH-00556,3W-Electric,Delhi,Noida,2021-10-05,67.5,6.6,7.0
VH-00433,E-Cargo,Uttar Pradesh,Lucknow,2021-10-09,71.4,53.3,6.0
VH-00195,2W-Electric,Delhi,Faridabad,2021-11-18,49.0,2.1,3.0
VH-00252,E-Bus,Madhya Pradesh,Gwalior,2022-06-07,48.6,173.8,7.0
VH-00814,E-Bus,Kerala,Thrissur,2023-10-14,64.6,196.9,2.0
VH-00898,2W-Electric,Delhi,Noida,2022-04-12,65.2,2.5,3.0
VH-01161,3W-Electric,Karnataka,Shivamogga,2023-07-04,37.4,8.7,7.0
VH-00758,E-Bus,Madhya Pradesh,Ujjain,2023-05-18,54.4,203.8,7.0
VH-00596,E-Bus,Rajasthan,Jodhpur,2024-03-12,60.1,226.3,3.0
VH-00312,E-Cargo,West Bengal,Kolkata,2024-02-25,66.8,51.9,6.0
VH-00733,3W-Electric,Madhya Pradesh,Gwalior,2023-05-30,65.2,7.1,7.0
VH-00678,4W-Electric,West Bengal,Howrah,2024-02-21,64.1,33.5,5.0
VH-00789,E-Bus,West Bengal,Howrah,2023-10-05,37.9,224.9,2.0
VH-01156,E-Bus,Haryana,Yamunanagar,2024-03-02,87.0,183.6,4.0
VH-01135,2W-Electric,Andhra Pradesh,Guntur,2022-03-20,,2.4,5.0
VH-00375,3W-Electric,Delhi,Dwarka,2022-12-01,47.8,7.9,5.0
VH-00941,E-Bus,West Bengal,Durgapur,2021-04-21,47.0,214.9,3.0
VH-01191,2W-Electric,Andhra Pradesh,Guntur,2024-02-10,62.9,2.6,3.0
VH-01090,E-Cargo,Uttar Pradesh,Allahabad,2021-05-30,50.2,65.3,4.0
VH-00784,E-Bus,Kerala,Thiruvananthapuram,2023-01-25,36.5,222.0,6.0
VH-01055,2W-Electric,Tamil Nadu,Tiruchirappalli,2023-11-01,58.7,2.5,3.0
VH-00523,E-Bus,Maharashtra,Solapur,2022-01-17,30.5,193.6,7.0
VH-00802,E-Cargo,Delhi,Faridabad,2021-03-24,69.7,63.7,3.0
VH-00352,E-Bus,Rajasthan,Jodhpur,2021-05-20,8.6,233.6,5.0
VH-00664,E-Cargo,Kerala,Kochi,2024-08-14,53.5,61.2,7.0
VH-00081,4W-Electric,Karnataka,Mysuru,2021-08-25,47.9,,2.0
VH-00346,E-Cargo,Karnataka,Belagavi,2022-02-02,57.0,70.2,
VH-00622,E-Bus,Tamil Nadu,Vellore,2021-06-07,,234.5,4.0
VH-00251,3W-Electric,Uttar Pradesh,Meerut,2022-04-21,96.1,8.7,5.0
VH-00309,4W-Electric,Rajasthan,Bikaner,2023-02-06,64.8,33.1,3.0
VH-00296,E-Bus,Andhra Pradesh,Visakhapatnam,2023-07-08,35.0,194.0,4.0
VH-00514,2W-Electric,Delhi,Dwarka,2024-06-14,14.3,2.8,7.0
VH-01101,E-Bus,Rajasthan,Udaipur,2024-02-04,39.7,227.7,2.0
VH-00819,E-Bus,Telangana,Warangal,2022-02-13,69.4,204.4,7.0
VH-00465,3W-Electric,Uttar Pradesh,Varanasi,2022-11-28,44.6,6.7,6.0
VH-00327,E-Cargo,Tamil Nadu,Coimbatore,2021-04-12,45.3,69.5,7.0
VH-00880,E-Bus,Delhi,New Delhi,2021-03-13,716.971697104881,180.1,
VH-00121,3W-Electric,Maharashtra,Mumbai,2023-09-01,59.6,8.1,6.0
VH-00931,E-Bus,Madhya Pradesh,Ujjain,2024-10-07,45.0,199.5,4.0
VH-01192,4W-Electric,Uttar Pradesh,Agra,2022-03-24,83.3,34.4,6.0
VH-00220,4W-Electric,West Bengal,Howrah,2023-06-17,60.6,39.5,7.0
VH-00401,E-Cargo,Haryana,Ambala,2024-01-03,22.4,48.4,2.0
VH-01172,E-Cargo,Punjab,Patiala,2023-11-23,59.3,55.5,7.0
VH-00193,E-Cargo,Telangana,Karimnagar,2024-06-25,14.3,66.7,2.0
VH-00827,3W-Electric,Gujarat,Bhavnagar,2022-06-30,21.0,8.7,6.0
VH-00291,3W-Electric,Maharashtra,Aurangabad,2021-09-24,40.5,8.5,6.0
VH-00181,2W-Electric,Kerala,Kozhikode,2022-02-02,41.0,2.8,4.0
VH-01119,4W-Electric,West Bengal,Durgapur,2024-03-31,37.9,37.7,6.0
VH-00186,4W-Electric,Uttar Pradesh,Varanasi,2022-01-13,82.2,33.6,2.0
VH-00403,E-Bus,Tamil Nadu,Madurai,2021-01-04,45.6,212.1,6.0
VH-00418,4W-Electric,Haryana,Panipat,2021-09-12,24.6,32.8,4.0
VH-00461,E-Bus,Kerala,Kochi,2024-07-08,,235.6,6.0
VH-00205,4W-Electric,Andhra Pradesh,Tirupati,2023-10-22,46.4,42.1,6.0
VH-00999,4W-Electric,Rajasthan,Jodhpur,2022-07-24,54.6,40.1,2.0
VH-00543,E-Cargo,West Bengal,Asansol,2024-09-22,51.5,48.3,3.0
VH-00075,2W-Electric,Punjab,Ludhiana,2023-07-28,89.1,2.0,6.0
VH-00933,2W-Electric,Tamil Nadu,Madurai,2023-08-23,43.7,2.7,3.0
VH-00807,2W-Electric,Karnataka,Mangaluru,2021-10-14,55.6,2.8,2.0
VH-00926,2W-Electric,Punjab,Amritsar,2024-05-13,658.673641590807,2.9,5.0
VH-00003,E-Cargo,West Bengal,Kolkata,2023-05-15,60.6,,2.0
VH-00268,4W-Electric,Delhi,Dwarka,2023-09-14,56.6,39.2,4.0
VH-00085,2W-Electric,Haryana,Gurugram,2024-07-23,26.2,2.1,5.0
VH-00929,E-Cargo,Telangana,Hyderabad,2024-12-21,51.7,59.3,6.0
VH-00987,E-Cargo,Kerala,Thrissur,2024-10-21,52.9,,5.0
VH-01151,E-Bus,Kerala,Kollam,2022-06-12,79.7,221.4,3.0
VH-00741,2W-Electric,Madhya Pradesh,Indore,2023-12-23,43.7,2.1,6.0
VH-01131,E-Cargo,Tamil Nadu,Tiruchirappalli,2021-11-26,42.5,66.0,3.0
VH-00143,E-Cargo,Tamil Nadu,Tiruchirappalli,2021-02-25,40.4,58.1,5.0
VH-00849,3W-Electric,Andhra Pradesh,Visakhapatnam,2022-12-12,26.8,6.6,4.0
VH-00640,2W-Electric,Telangana,Nizamabad,2024-02-20,,2.7,3.0
VH-00157,2W-Electric,Kerala,Thiruvananthapuram,2024-11-28,68.7,2.5,4.0
VH-00210,E-Bus,Uttar Pradesh,Meerut,2022-07-24,27.9,188.3,3.0
VH-00552,4W-Electric,West Bengal,Asansol,2021-02-14,55.8,37.6,5.0
VH-00742,E-Bus,Maharashtra,Nagpur,2022-12-21,46.8,169.7,7.0
VH-00980,2W-Electric,Haryana,Gurugram,2021-10-11,32.7,2.6,7.0
VH-00683,2W-Electric,Gujarat,Vadodara,2024-03-28,63.3,3.0,2.0
VH-00180,4W-Electric,Andhra Pradesh,Tirupati,2024-04-22,31.1,44.0,6.0
VH-00772,3W-Electric,Uttar Pradesh,Meerut,2023-01-24,56.3,8.2,3.0
VH-00135,3W-Electric,Telangana,Warangal,2021-05-12,46.1,8.4,5.0
VH-00002,2W-Electric,Gujarat,Surat,2024-10-17,61.4,,7.0
VH-00313,2W-Electric,Rajasthan,Bikaner,2023-04-22,65.9,2.2,4.0
VH-00110,4W-Electric,Haryana,Gurugram,2023-11-05,44.7,40.9,4.0
VH-00161,2W-Electric,Haryana,Ambala,2023-06-07,42.6,2.8,4.0
VH-00512,E-Bus,Delhi,Faridabad,2022-03-15,44.5,162.0,3.0
VH-00550,2W-Electric,West Bengal,Asansol,2023-07-18,54.5,2.7,3.0
VH-00377,E-Cargo,Delhi,New Delhi,2024-01-11,53.2,65.2,7.0
VH-00206,2W-Electric,Uttar Pradesh,Varanasi,2024-05-09,92.2,2.6,2.0
VH-00844,E-Bus,Haryana,Faridabad,2022-09-21,66.5,193.7,7.0
VH-00289,E-Cargo,Gujarat,Ahmedabad,2022-03-01,62.8,50.7,6.0
VH-00057,3W-Electric,West Bengal,Asansol,2023-05-15,64.1,,3.0
VH-00173,2W-Electric,Uttar Pradesh,Varanasi,2021-07-10,50.2,2.3,4.0
VH-00385,E-Cargo,Punjab,Jalandhar,2023-12-17,41.9,64.0,5.0
VH-01096,3W-Electric,Andhra Pradesh,Kurnool,2024-03-04,72.1,6.0,6.0
VH-00541,E-Bus,Gujarat,Surat,2021-11-10,42.3,181.5,5.0
VH-00232,E-Cargo,Rajasthan,Udaipur,2024-01-18,86.0,68.5,5.0
VH-01068,3W-Electric,Karnataka,Mysuru,2024-11-04,29.5,6.1,5.0
VH-00725,4W-Electric,Delhi,Rohini,2022-11-23,31.2,33.3,6.0
VH-00697,2W-Electric,Maharashtra,Thane,2023-09-20,68.9,3.0,3.0
VH-00958,3W-Electric,Gujarat,Surat,2022-03-09,61.3,8.4,7.0
VH-00813,E-Bus,Karnataka,Bengaluru,2021-04-14,42.6,210.9,3.0
VH-00311,2W-Electric,Karnataka,Mangaluru,2023-02-03,43.1,2.1,
VH-00078,4W-Electric,Gujarat,Vadodara,2021-11-20,30.5,34.8,5.0
VH-01003,2W-Electric,Uttar Pradesh,Agra,2023-10-16,,2.4,7.0
VH-00961,E-Cargo,Punjab,Patiala,2021-04-10,61.8,68.9,6.0
VH-00237,4W-Electric,West Bengal,Siliguri,2021-07-25,20.4,34.2,5.0
VH-00427,2W-Electric,Madhya Pradesh,Bhopal,2024-10-06,28.6,2.4,7.0
VH-00957,3W-Electric,Rajasthan,Jodhpur,2023-04-07,58.9,6.9,2.0
VH-01076,2W-Electric,Madhya Pradesh,Ujjain,2024-04-14,31.5,3.0,2.0
VH-00878,E-Bus,West Bengal,Kolkata,2023-12-07,62.0,188.0,5.0
VH-00916,3W-Electric,Uttar Pradesh,Kanpur,2024-05-16,31.7,7.8,2.0
VH-00703,E-Cargo,Punjab,Jalandhar,2023-10-12,86.7,50.3,6.0
VH-00176,E-Cargo,Rajasthan,Kota,2022-11-09,42.7,,4.0
VH-00965,2W-Electric,Gujarat,Bhavnagar,2022-09-09,76.0,2.3,5.0
VH-00527,E-Bus,Tamil Nadu,Tiruchirappalli,2022-07-13,56.5,177.0,3.0
VH-00838,E-Cargo,Tamil Nadu,Chennai,2023-01-18,42.0,65.0,2.0
VH-01037,4W-Electric,Delhi,Faridabad,2021-10-27,35.7,46.2,2.0
VH-00457,E-Cargo,West Bengal,Howrah,2024-04-04,16.3,55.1,3.0
VH-00565,E-Cargo,Punjab,Jalandhar,2021-02-02,63.0,58.9,3.0
VH-01052,2W-Electric,Rajasthan,Ajmer,2024-07-04,59.6,2.9,6.0
VH-00619,2W-Electric,Uttar Pradesh,Agra,2021-06-02,54.4,2.9,7.0
VH-01168,E-Cargo,Telangana,Nizamabad,2024-09-05,2.2,57.7,6.0
VH-00318,E-Bus,Kerala,Thiruvananthapuram,2024-02-23,10.4,184.1,6.0
VH-00902,4W-Electric,Uttar Pradesh,Meerut,2021-04-26,54.9,42.5,6.0
VH-00600,3W-Electric,West Bengal,Asansol,2024-01-16,79.5,7.4,7.0
VH-00642,4W-Electric,Tamil Nadu,Coimbatore,2022-09-09,41.3,45.8,4.0
VH-00153,4W-Electric,Uttar Pradesh,Allahabad,2023-01-26,51.0,42.5,3.0
VH-00047,3W-Electric,Kerala,Kollam,2024-04-20,50.8,6.7,3.0
VH-00626,2W-Electric,Rajasthan,Jaipur,2023-06-15,60.9,2.7,3.0
VH-01094,3W-Electric,Kerala,Kochi,2022-10-13,41.3,8.9,5.0
VH-00582,4W-Electric,Karnataka,Mangaluru,2021-07-09,29.9,42.1,6.0
VH-01016,3W-Electric,Gujarat,Rajkot,2022-11-24,20.3,6.0,2.0
VH-00348,3W-Electric,Tamil Nadu,Madurai,2021-12-22,65.5,7.2,6.0
VH-01011,2W-Electric,Punjab,Amritsar,2022-12-01,85.4,2.1,4.0
VH-01092,E-Bus,Andhra Pradesh,Kurnool,2022-11-09,40.1,188.7,4.0
VH-00241,4W-Electric,Telangana,Hyderabad,2024-10-13,74.6,38.3,6.0
VH-00613,4W-Electric,Andhra Pradesh,Vijayawada,2024-11-01,36.2,34.2,2.0
VH-00482,E-Cargo,Delhi,Gurugram,2021-09-01,54.8,53.3,3.0
VH-00942,4W-Electric,Tamil Nadu,Coimbatore,2023-04-19,65.5,45.4,6.0
VH-01082,4W-Electric,Madhya Pradesh,Indore,2024-10-19,49.6,45.8,7.0
VH-00063,4W-Electric,Delhi,Noida,2023-05-17,57.0,36.6,7.0
VH-01047,2W-Electric,Uttar Pradesh,Kanpur,2022-01-18,33.0,2.4,3.0
VH-00959,2W-Electric,Maharashtra,Nagpur,2023-01-21,72.8,2.0,7.0
VH-00292,2W-Electric,Delhi,Dwarka,2024-09-15,44.3,2.7,2.0
VH-01035,2W-Electric,West Bengal,Kolkata,2023-02-20,49.9,2.4,3.0
VH-00746,3W-Electric,Telangana,Karimnagar,2022-05-23,73.2,7.9,4.0
VH-01044,3W-Electric,Andhra Pradesh,Guntur,2024-06-24,45.8,6.4,5.0
VH-00590,4W-Electric,West Bengal,Durgapur,2022-06-20,,38.3,4.0
VH-00781,4W-Electric,Karnataka,Mangaluru,2022-09-29,67.1,36.2,4.0
VH-00593,E-Cargo,Telangana,Hyderabad,2022-03-30,23.9,66.6,7.0
VH-00023,3W-Electric,Andhra Pradesh,Guntur,2024-09-04,,8.9,
VH-00776,3W-Electric,Rajasthan,Kota,2022-01-02,81.0,6.9,2.0
VH-00536,2W-Electric,Kerala,Kollam,2022-06-20,64.8,2.5,7.0
VH-00481,E-Cargo,Karnataka,Mangaluru,2023-07-12,38.2,65.4,6.0
VH-00189,3W-Electric,Maharashtra,Nagpur,2024-02-27,78.1,8.1,4.0
VH-01103,E-Cargo,Haryana,Faridabad,2022-02-07,22.2,49.9,4.0
VH-00803,3W-Electric,Haryana,Panipat,2021-07-06,61.5,6.5,7.0
VH-00557,4W-Electric,Andhra Pradesh,Tirupati,2023-02-23,60.5,34.7,5.0
VH-01040,3W-Electric,Andhra Pradesh,Kurnool,2024-08-18,79.3,6.2,6.0
VH-00136,E-Cargo,Telangana,Karimnagar,2023-08-13,21.6,49.9,5.0
VH-00994,2W-Electric,Andhra Pradesh,Kurnool,2023-06-06,43.4,2.6,7.0
VH-00259,2W-Electric,Telangana,Karimnagar,2024-03-05,72.0,2.6,7.0
VH-00228,4W-Electric,Tamil Nadu,Chennai,2023-04-30,65.7,42.7,4.0
VH-01042,E-Bus,Andhra Pradesh,Visakhapatnam,2023-03-05,31.3,208.5,5.0
VH-00317,4W-Electric,Rajasthan,Ajmer,2021-08-24,41.5,39.0,4.0
VH-00598,E-Bus,Andhra Pradesh,Tirupati,2021-12-11,27.2,216.5,7.0
VH-00108,4W-Electric,Madhya Pradesh,Indore,2023-06-03,70.5,38.2,2.0
VH-01106,3W-Electric,Punjab,Patiala,2021-03-17,52.3,8.8,6.0
VH-01199,4W-Electric,Uttar Pradesh,Meerut,2023-10-03,33.2,34.4,3.0
VH-00428,E-Cargo,Telangana,Karimnagar,2024-10-23,50.5,61.0,3.0
VH-01105,E-Cargo,Madhya Pradesh,Bhopal,2024-03-31,57.1,56.4,5.0
VH-00788,4W-Electric,Punjab,Jalandhar,2021-08-01,91.0,44.0,3.0
VH-01194,3W-Electric,Gujarat,Surat,2022-06-28,86.6,8.0,3.0
VH-00828,3W-Electric,Haryana,Gurugram,2024-03-25,84.1,7.2,5.0
VH-01196,2W-Electric,Tamil Nadu,Chennai,2021-06-10,50.3,2.3,7.0
VH-00031,2W-Electric,Delhi,Gurugram,2024-10-25,50.9,2.8,
VH-00011,E-Bus,Punjab,Ludhiana,2024-01-04,42.4,196.5,2.0
VH-00439,E-Bus,Tamil Nadu,Chennai,2021-12-20,26.9,185.5,7.0
VH-00343,E-Cargo,Gujarat,Rajkot,2023-04-01,60.0,65.0,6.0
VH-00581,3W-Electric,Gujarat,Vadodara,2022-11-08,65.7,8.7,7.0
VH-00459,2W-Electric,Haryana,Yamunanagar,2021-02-28,51.7,2.2,2.0
VH-00785,E-Cargo,Uttar Pradesh,Kanpur,2022-05-18,43.3,63.5,3.0
VH-00126,2W-Electric,West Bengal,Howrah,2023-07-24,62.1,2.6,3.0
VH-00258,4W-Electric,Kerala,Kozhikode,2021-02-14,55.8,44.8,7.0
VH-00853,2W-Electric,Punjab,Ludhiana,2021-04-09,75.7,2.3,5.0
VH-01080,3W-Electric,Maharashtra,Kolhapur,2023-12-29,,7.2,3.0
VH-00314,2W-Electric,Haryana,Ambala,2022-08-13,75.7,2.5,6.0
VH-00843,3W-Electric,Punjab,Chandigarh,2024-09-25,58.8,7.8,6.0
VH-00706,E-Cargo,Punjab,Jalandhar,2022-03-24,26.9,51.7,5.0
VH-00005,E-Cargo,Kerala,Kochi,2022-02-12,43.4,48.5,7.0
VH-00709,3W-Electric,Haryana,Gurugram,2022-03-06,40.0,7.6,7.0
VH-00199,2W-Electric,Andhra Pradesh,Tirupati,2024-11-08,26.1,3.0,3.0
VH-00410,E-Cargo,Madhya Pradesh,Bhopal,2022-11-12,59.0,62.5,3.0
VH-00175,E-Bus,Kerala,Kozhikode,2024-02-08,49.6,232.4,6.0
VH-01005,2W-Electric,Maharashtra,Mumbai,2024-05-22,73.4,2.6,6.0
VH-00995,E-Bus,Andhra Pradesh,Vijayawada,2022-12-10,62.5,201.0,
VH-00203,E-Cargo,Tamil Nadu,Madurai,2024-03-11,64.5,49.8,4.0
VH-00178,3W-Electric,Gujarat,Ahmedabad,2022-10-09,76.3,7.3,2.0
VH-00276,E-Bus,Madhya Pradesh,Bhopal,2024-12-06,54.9,203.0,4.0
VH-00572,3W-Electric,Madhya Pradesh,Ujjain,2023-04-27,66.3,8.0,4.0
VH-00413,3W-Electric,Madhya Pradesh,Indore,2021-05-10,66.5,8.2,7.0
VH-00014,3W-Electric,Karnataka,Bengaluru,2022-08-16,44.7,6.5,2.0
VH-00484,3W-Electric,Rajasthan,Jodhpur,2024-05-18,37.6,7.8,6.0
VH-01160,E-Bus,Kerala,Kozhikode,2021-10-10,39.8,175.9,7.0
VH-00796,4W-Electric,Andhra Pradesh,Guntur,2023-07-17,51.7,42.3,4.0
VH-00539,4W-Electric,Madhya Pradesh,Ujjain,2024-11-14,40.2,35.2,2.0
VH-00118,2W-Electric,Tamil Nadu,Vellore,2022-08-05,60.1,2.9,6.0
VH-00537,3W-Electric,Rajasthan,Bikaner,2021-05-08,62.5,6.4,7.0
VH-00164,E-Bus,Punjab,Jalandhar,2023-06-12,66.6,224.3,7.0
VH-00112,3W-Electric,Delhi,Gurugram,2022-01-28,90.3,6.3,5.0
VH-00345,2W-Electric,Rajasthan,Jodhpur,2023-11-12,58.7,2.4,7.0
VH-01028,E-Cargo,Haryana,Panipat,2024-07-19,33.1,66.9,3.0
VH-00483,4W-Electric,Karnataka,Mangaluru,2022-11-26,-14.6,42.9,6.0
VH-01058,4W-Electric,Rajasthan,Udaipur,2022-03-24,79.6,36.8,6.0
VH-00131,E-Cargo,Haryana,Panipat,2023-09-20,102.8,49.2,7.0
VH-01022,3W-Electric,Tamil Nadu,Vellore,2021-08-01,42.1,7.5,5.0
VH-01030,3W-Electric,Rajasthan,Bikaner,2024-12-25,64.8,8.6,7.0
VH-00339,E-Cargo,Karnataka,Hubli,2023-05-30,58.6,59.1,6.0
VH-01085,E-Cargo,Kerala,Thrissur,2024-01-27,78.3,,2.0
VH-00073,3W-Electric,Madhya Pradesh,Gwalior,2022-06-28,45.1,6.3,5.0
VH-00950,2W-Electric,Andhra Pradesh,Guntur,2022-10-22,68.0,2.6,6.0
VH-01130,2W-Electric,Haryana,Ambala,2022-05-15,36.1,,2.0
VH-00516,3W-Electric,West Bengal,Howrah,2021-04-18,46.9,9.0,2.0
VH-00918,E-Bus,Andhra Pradesh,Guntur,2023-02-11,59.8,200.4,4.0
VH-01095,E-Cargo,Uttar Pradesh,Agra,2024-09-12,44.3,48.2,4.0
VH-00013,E-Cargo,Kerala,Kozhikode,2022-01-29,57.4,62.2,7.0
VH-00448,2W-Electric,Haryana,Yamunanagar,2021-09-14,55.9,2.8,4.0
VH-00625,2W-Electric,Tamil Nadu,Vellore,2023-10-23,39.6,2.4,7.0
VH-00209,E-Cargo,Punjab,Chandigarh,2021-03-24,51.8,54.7,3.0
VH-01083,2W-Electric,Madhya Pradesh,Gwalior,2024-02-08,78.9,,6.0
VH-00566,2W-Electric,Gujarat,Ahmedabad,2024-05-01,98.7,2.7,2.0
VH-01093,3W-Electric,Tamil Nadu,Vellore,2021-07-24,37.1,8.4,4.0
VH-00594,4W-Electric,Tamil Nadu,Chennai,2024-02-08,49.6,33.2,6.0
VH-00341,3W-Electric,Maharashtra,Thane,2024-06-19,90.6,6.1,5.0
VH-00347,3W-Electric,Rajasthan,Bikaner,2022-04-29,105.8,7.4,2.0
VH-01050,4W-Electric,Tamil Nadu,Tiruchirappalli,2021-01-12,47.9,46.4,4.0
VH-00305,E-Cargo,Uttar Pradesh,Meerut,2023-06-01,40.5,66.2,2.0
VH-00037,2W-Electric,West Bengal,Siliguri,2024-05-11,34.2,2.9,4.0
VH-00043,E-Cargo,Telangana,Warangal,2024-11-13,26.6,48.8,3.0
VH-01162,3W-Electric,Tamil Nadu,Chennai,2023-11-08,26.7,6.2,5.0
VH-00991,2W-Electric,Madhya Pradesh,Gwalior,2024-12-13,37.1,2.6,7.0
VH-01089,E-Cargo,Tamil Nadu,Vellore,2021-04-22,94.1,63.0,6.0
VH-00748,4W-Electric,Kerala,Kollam,2024-11-15,50.8,46.2,2.0
VH-00460,3W-Electric,Maharashtra,Aurangabad,2024-03-17,38.5,8.6,5.0
VH-00424,E-Cargo,Delhi,Noida,2023-05-23,47.0,67.7,3.0
VH-01188,4W-Electric,Madhya Pradesh,Indore,2023-04-25,56.0,33.2,4.0
VH-00597,4W-Electric,Uttar Pradesh,Meerut,2022-06-12,68.0,38.9,5.0
VH-00295,E-Bus,Tamil Nadu,Vellore,2023-12-14,43.7,221.6,2.0
VH-00586,4W-Electric,Gujarat,Vadodara,2021-02-01,49.2,39.9,3.0
VH-00027,3W-Electric,Rajasthan,Jodhpur,2023-11-10,28.1,8.5,5.0
VH-00691,2W-Electric,Gujarat,Vadodara,2022-01-10,39.8,2.1,4.0
VH-00685,2W-Electric,Gujarat,Rajkot,2022-06-22,74.5,2.4,7.0
VH-00840,4W-Electric,Rajasthan,Udaipur,2021-10-07,71.0,34.4,3.0
VH-00511,4W-Electric,Andhra Pradesh,Visakhapatnam,2023-06-25,62.3,47.6,7.0
VH-00720,2W-Electric,Karnataka,Shivamogga,2023-04-06,55.0,2.9,6.0
VH-00354,E-Cargo,Maharashtra,Thane,2021-06-01,38.6,58.9,4.0
VH-01148,E-Bus,Punjab,Jalandhar,2022-12-19,55.3,196.6,6.0
VH-00056,3W-Electric,Rajasthan,Jaipur,2022-01-28,61.9,6.7,3.0
VH-00464,3W-Electric,Andhra Pradesh,Visakhapatnam,2023-06-20,87.4,7.5,5.0
VH-00217,E-Bus,Haryana,Yamunanagar,2023-04-27,60.9,239.0,2.0
VH-00744,3W-Electric,Madhya Pradesh,Jabalpur,2021-06-27,42.4,6.2,2.0
VH-00041,3W-Electric,Punjab,Amritsar,2024-09-13,47.0,,5.0
VH-00397,3W-Electric,Delhi,Dwarka,2024-01-29,98.1,7.3,7.0
VH-01167,E-Cargo,Rajasthan,Jaipur,2021-03-19,50.6,51.0,7.0
VH-00705,4W-Electric,Punjab,Patiala,2024-01-16,44.3,42.6,
VH-01000,E-Cargo,West Bengal,Howrah,2024-08-10,76.5,64.9,5.0
VH-00945,E-Bus,Maharashtra,Mumbai,2022-07-15,75.6,184.4,3.0
VH-01117,E-Bus,West Bengal,Durgapur,2023-08-20,56.6,178.1,5.0
VH-00179,3W-Electric,Andhra Pradesh,Kurnool,2022-01-28,79.1,6.9,3.0
VH-00177,4W-Electric,Andhra Pradesh,Tirupati,2022-09-20,93.2,47.2,4.0
VH-00508,4W-Electric,West Bengal,Durgapur,2021-09-07,58.5,41.3,6.0
VH-00571,3W-Electric,Kerala,Kozhikode,2022-09-11,32.4,6.7,3.0
VH-01059,E-Cargo,West Bengal,Asansol,2024-08-22,29.8,54.2,2.0
VH-00301,E-Bus,Uttar Pradesh,Allahabad,2021-05-31,52.0,202.6,2.0
VH-01141,2W-Electric,Tamil Nadu,Chennai,2022-02-19,65.4,2.6,6.0
VH-00629,E-Bus,Delhi,Noida,2022-04-13,66.3,205.4,4.0
VH-01158,E-Bus,West Bengal,Siliguri,2022-01-02,71.2,,4.0
VH-00974,E-Cargo,Karnataka,Bengaluru,2024-10-02,67.8,67.9,5.0
VH-00953,E-Cargo,Karnataka,Mangaluru,2024-04-20,60.1,61.1,4.0
VH-00519,E-Bus,Telangana,Nizamabad,2024-08-25,77.4,215.5,3.0
VH-00728,2W-Electric,Punjab,Jalandhar,2021-09-12,58.4,2.8,3.0
VH-00993,E-Cargo,Haryana,Panipat,2023-12-08,76.7,48.1,7.0
VH-01048,2W-Electric,Andhra Pradesh,Kurnool,2023-02-12,47.8,2.0,2.0
VH-01129,E-Cargo,Uttar Pradesh,Kanpur,2021-11-27,61.7,54.8,7.0
VH-00030,E-Cargo,Telangana,Nizamabad,2023-08-17,72.8,65.5,6.0
